PSurf_Autumn,PSurf_Spring,PSurf_Summer,PSurf_Winter,Rainf_Autumn,Rainf_Spring,Rainf_Summer,Rainf_Winter,Snowf_Autumn,Snowf_Spring,Snowf_Summer,Snowf_Winter,Tair_Autumn,Tair_Spring,Tair_Summer,Tair_Winter,Wind_Autumn,Wind_Spring,Wind_Summer,Wind_Winter,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.644588,0.6312046,0.6274128,0.6573067,0.16875204,0.44547766,0.134938,0.22930297,0.0,0.0,0.0,2.5786699e-08,0.6136608,0.6285572,0.59685326,0.61859703,0.4725058,0.590191,0.57434857,0.49225265,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.5644765,0.55091715,0.545691,0.5766015,0.10674474,0.42891318,0.14863274,0.2789401,0.0,0.0,0.0,3.1278205e-08,0.57304573,0.59474564,0.56583786,0.5836258,0.5063422,0.64542186,0.5717491,0.49886352,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.49139023,0.477921,0.47138548,0.5030856,0.06666905,0.48690248,0.09136323,0.5709591,0.0,0.0,0.0,1.7723325e-08,0.5017719,0.52705574,0.51008034,0.52004623,0.41928256,0.53479683,0.49807084,0.40111786,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.6509843,0.64046144,0.63443613,0.65954876,0.2750114,0.8237338,0.11376727,0.7360463,0.0,0.0,0.0,3.612679e-08,0.8094692,0.78284645,0.7952328,0.760973,0.5579765,0.629485,0.76362765,0.6991573,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6430955,0.63181543,0.626616,0.652102,0.12709197,1.0,0.39011627,0.6962228,0.0,0.0,0.0,1.3890876e-07,0.7891178,0.7680836,0.7766819,0.7434864,0.5638386,0.67127264,0.7505001,0.7079248,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6438422,0.63179064,0.62742805,0.653728,0.29833356,0.8240166,0.5900666,0.3758454,0.0,0.0,0.0,1.2845267e-07,0.7561207,0.7427578,0.7488079,0.7082977,0.5561646,0.65181077,0.7073456,0.69326,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.68002176,0.6672435,0.66361237,0.69162893,0.17478666,0.75697803,0.8505757,0.2892165,0.0,0.0,0.0,8.7737476e-08,0.7331734,0.73013115,0.73968315,0.6994457,0.51152897,0.57160246,0.6445085,0.61627156,0.0,0.23005605,0.18304676,0.0,0.16445668,0.42145592,0.25573766,0.377014,0.22776604,0.08406246,0.0
0.65392065,0.64062405,0.6368232,0.66587734,0.08003569,0.3462053,0.43388474,0.45969877,0.0,0.0,0.0,9.502164e-08,0.6899586,0.6941109,0.7023792,0.6624203,0.46785963,0.57748187,0.59538233,0.5517172,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.64648867,0.6328788,0.6288738,0.6588459,0.1829553,0.34926903,0.18746358,0.27249733,0.0,0.0,0.0,7.7076045e-08,0.63150024,0.6455326,0.65595245,0.6097431,0.46053648,0.6270236,0.5615362,0.50637907,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5895796,0.5758872,0.57061815,0.60161734,0.41185573,0.28139365,0.26158252,0.38711748,0.0,2.4757266e-08,0.0,9.039837e-08,0.6136627,0.62648773,0.6435871,0.5967941,0.48818302,0.64499223,0.5681505,0.5095356,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.50251293,0.4892125,0.48248625,0.5140295,0.6407293,0.31385714,0.3367465,0.400811,8.005575e-09,1.7480007e-08,0.0,4.859039e-08,0.50437164,0.53126526,0.5535717,0.5002899,0.48651028,0.6031188,0.5655595,0.46633238,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5454807,0.53250885,0.52479553,0.5577693,0.8043468,0.4957205,0.5117423,0.40778568,2.7886681e-08,0.0,0.0,5.1150952e-08,0.5068817,0.5291252,0.5568161,0.5091419,0.14650118,0.25513387,0.3290205,0.18672723,0.27469486,0.7408366,0.60856616,0.7275405,0.6431112,0.36015326,0.5180328,0.39849624,0.87498236,0.4330074,0.5180088
0.6298518,0.6192541,0.61223555,0.6382394,0.7466285,0.5630754,0.4738862,0.3543885,2.7886681e-08,0.0,0.0,1.364753e-07,0.8120651,0.7892647,0.81074333,0.7500706,0.6471782,0.71208894,0.7911855,0.77242523,0.27469486,0.7408366,0.60856616,0.7275405,0.6431112,0.36015326,0.5180328,0.39849624,0.87498236,0.4330074,0.5180088
