lon,lat,PSurf_Autumn,PSurf_Spring,PSurf_Summer,PSurf_Winter,Qair_Autumn,Qair_Spring,Qair_Summer,Qair_Winter,Rainf_Autumn,Rainf_Spring,Rainf_Summer,Rainf_Winter,Snowf_Autumn,Snowf_Spring,Snowf_Summer,Snowf_Winter,Tair_Autumn,Tair_Spring,Tair_Summer,Tair_Winter,Wind_Autumn,Wind_Spring,Wind_Summer,Wind_Winter,spatial_ref_Autumn,spatial_ref_Spring,spatial_ref_Summer,spatial_ref_Winter,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
-6.75,28.75,94900.0625,94680.3984375,94548.484375,95429.1328125,0.00448567932471633,0.003235383192077279,0.004664887208491564,0.00339444144628942,3.833383743767627e-06,2.9885934509366052e-06,7.589155188725272e-07,2.5974823074648157e-06,1.795032567031285e-08,0.0,0.0,1.5933780161958566e-07,296.6522216796875,296.3,304.238037109375,287.6277770996094,3.8198940753936768,4.804335117340088,4.257047176361084,3.7338926792144775,0.0,0.0,0.0,0.0,58.3,51.650001525878906,20.950000762939453,23.65,20.75,24.45,7.65,7.7,0.6349999904632568,0.3199999928474426,0.08,0.02,84.5,95.0,10.100000381469727,9.649999618530273,57.0,40.0,13.050000190734863,19.100000381469727,1.4,1.45,10.5,10.0
-6.75,29.25,94114.5,93896.6328125,93775.6328125,94621.2109375,0.00408579409122467,0.002934481715783477,0.004191298969089985,0.0030210332479327917,3.9917904359754175e-06,2.826872105288203e-06,6.637581009272253e-07,2.387120503044571e-06,2.7886681852606898e-08,0.0,0.0,1.3949343724561913e-07,295.8521728515625,295.5,303.6728210449219,286.86553955078125,3.388637065887451,4.33570671081543,3.768916368484497,3.2827603816986084,0.0,0.0,0.0,0.0,58.3,51.650001525878906,20.950000762939453,23.65,20.75,24.45,7.65,7.7,0.6349999904632568,0.3199999928474426,0.08,0.02,84.5,95.0,10.100000381469727,9.649999618530273,57.0,40.0,13.050000190734863,19.100000381469727,1.4,1.45,10.5,10.0
-6.25,26.25,96176.859375,95998.71875,95814.890625,96695.6171875,0.0054151746444404125,0.0041953823529183865,0.005311046727001667,0.0037694405764341354,3.473980996204773e-06,3.4055826745316153e-06,1.2493908343458315e-06,2.0512657101789955e-06,2.7886681852606898e-08,0.0,0.0,2.3991523789845814e-07,300.2225341796875,299.93152,307.39892578125,290.7177734375,3.8143649101257324,4.74196195602417,4.78835916519165,4.225045204162598,0.0,0.0,0.0,0.0,16.53,17.3799991607666,13.670000076293945,14.25,9.86,8.3,2.84,2.91,0.27900001406669617,0.33500000834465027,0.049,0.045,36.0,36.3,5.940000057220459,4.269999980926514,21.9,17.6,2.4800000190734863,2.690000057220459,0.45,0.41,3.5,3.2
-6.25,26.75,96116.0234375,95926.6796875,95755.890625,96648.65625,0.005261149723082781,0.004006455652415752,0.005254398100078106,0.0037815032992511988,3.882494638673961e-06,4.3221371015533805e-06,2.0717884581245016e-06,1.4856447023703367e-06,2.7886681852606898e-08,0.0,0.0,2.1518569326417492e-07,299.6884460449219,299.4989,307.0,290.252197265625,3.8621432781219482,4.725011348724365,4.713038444519043,4.242578983306885,0.0,0.0,0.0,0.0,35.673,32.47200012207031,13.925999641418457,14.817,16.401,18.579,4.884,4.95,0.42899999022483826,0.2079000025987625,0.0759,0.0264,54.45,61.38,6.302999973297119,5.247000217437744,39.93,25.74,4.355999946594238,7.458000183105469,0.891,0.957,6.269999980926514,6.27
-6.25,27.25,97242.1640625,97038.25,96847.3125,97832.65625,0.004923234228044748,0.0036609587259590626,0.005024786107242107,0.0036567768547683954,3.0571782190236263e-06,3.825592102657538e-06,1.6886756384337787e-06,1.4683338349641417e-06,2.0164904412922624e-08,6.727082002555562e-09,0.0,1.0347761758566776e-07,298.3214111328125,298.06628,305.9347839355469,288.8522033691406,3.8039603233337402,4.5922465324401855,4.549103260040283,4.077312469482422,0.0,0.0,0.0,0.0,35.673,32.47200012207031,13.925999641418457,14.817,16.401,18.579,4.884,4.95,0.42899999022483826,0.2079000025987625,0.0759,0.0264,54.45,61.38,6.302999973297119,5.247000217437744,39.93,25.74,4.355999946594238,7.458000183105469,0.891,0.957,6.269999980926514,6.27
-6.25,27.75,96715.0625,96503.6484375,96328.2890625,97297.0859375,0.004873303230851889,0.0036081194411963224,0.005062046926468611,0.0037088196258991957,2.4638939066790044e-06,3.7519089346460532e-06,8.175470611604396e-07,1.334763624072366e-06,1.2553715400542842e-08,0.0,0.0,3.940749238040553e-08,297.6873474121094,297.5,305.4695739746094,288.25555419921875,3.7533552646636963,4.63088321685791,4.4362711906433105,3.8983147144317627,0.0,0.0,0.0,0.0,58.06,49.90999984741211,22.850000381469727,26.31,19.09,23.43,7.87,7.9,0.5009999871253967,0.2879999876022339,0.06,0.02,90.7,97.0,9.979999542236328,10.3100004196167,57.8,44.8,18.229999542236328,26.540000915527344,1.48,1.43,10.300000190734863,10.8
-6.25,28.25,96293.890625,96076.046875,95906.6796875,96869.765625,0.004778670147061348,0.0034920373000204563,0.004885768983513117,0.0036954230163246393,2.097737251460785e-06,3.1295628559746547e-06,4.804816171599668e-07,1.4075378658162663e-06,0.0,0.0,0.0,2.5786698998331303e-08,297.58624267578125,297.3663,305.3369445800781,288.19000244140625,3.72749400138855,4.730570316314697,4.327926158905029,3.7886722087860107,0.0,0.0,0.0,0.0,58.06,49.90999984741211,22.850000381469727,26.31,19.09,23.43,7.87,7.9,0.5009999871253967,0.2879999876022339,0.06,0.02,90.7,97.0,9.979999542236328,10.3100004196167,57.8,44.8,18.229999542236328,26.540000915527344,1.48,1.43,10.300000190734863,10.8
-6.25,28.75,95072.1328125,94851.5625,94707.21875,95605.4765625,0.004492185078561306,0.0032319689635187387,0.004459785297513008,0.003381198039278388,1.8704475905906293e-06,3.0774469905736623e-06,5.126904056851345e-07,1.5042412542243255e-06,0.0,0.0,0.0,3.127820491499733e-08,297.0533142089844,296.83368,305.0043640136719,287.6589050292969,3.7940640449523926,4.84726095199585,4.320438861846924,3.806246042251587,0.0,0.0,0.0,0.0,52.21,48.31999969482422,23.229999542236328,24.32,24.58,27.24,7.39,7.46,0.6779999732971191,0.4050000011920929,0.113,0.058,87.3,91.5,10.869999885559082,10.0600004196167,56.7,45.8,8.539999961853027,11.319999694824219,1.42,1.38,10.300000190734863,10.8
-6.25,29.25,93957.515625,93738.28125,93616.609375,94453.8125,0.004178602714091539,0.0029866050463169813,0.0040828087367117405,0.0030509119387716055,1.723548848531209e-06,3.2598954931017943e-06,3.7799767937940487e-07,2.0731545191665646e-06,0.0,0.0,0.0,1.7723325029805892e-08,296.1181335449219,295.7674,304.406494140625,286.693359375,3.622781753540039,4.613534450531006,4.10822057723999,3.5464060306549072,0.0,0.0,0.0,0.0,58.3,51.650001525878906,20.950000762939453,23.65,20.75,24.45,7.65,7.7,0.6349999904632568,0.3199999928474426,0.08,0.02,84.5,95.0,10.100000381469727,9.649999618530273,57.0,40.0,13.050000190734863,19.100000381469727,1.4,1.45,10.5,10.0
-5.75,25.75,96391.4375,96217.21875,96009.765625,96904.890625,0.0052420091815292835,0.004058490041643381,0.004846562631428242,0.0035344231873750687,2.487234269210603e-06,4.31964872404933e-06,4.3068996546935523e-07,2.3947782210598234e-06,0.0,0.0,0.0,3.612678867170871e-08,300.1554870605469,299.79672,307.464111328125,290.3522033691406,3.8956501483917236,4.813590049743652,4.873114109039307,4.3386921882629395,0.0,0.0,0.0,0.0,35.673,32.47200012207031,13.925999641418457,14.817,16.401,18.579,4.884,4.95,0.42899999022483826,0.2079000025987625,0.0759,0.0264,54.45,61.38,6.302999973297119,5.247000217437744,39.93,25.74,4.355999946594238,7.458000183105469,0.891,0.957,6.269999980926514,6.27
