PSurf_Autumn,Rainf_Autumn,Snowf_Autumn,Tair_Autumn,Wind_Autumn,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.68534565,0.30535892,0.0,0.8094692,0.6840012,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.67525625,0.26820984,0.0,0.78409386,0.66577125,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6671705,0.07364309,0.0,0.707798,0.5916519,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.69213486,0.11120054,0.0,0.6848507,0.5300708,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.68889,0.14222702,0.0,0.67220306,0.5042366,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.65100336,0.39136145,0.0,0.64925575,0.39851856,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6066451,0.31288478,0.0,0.58317566,0.3479923,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.5423932,0.32976237,0.0,0.56282616,0.42100358,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.48118687,0.30047116,0.0,0.48401833,0.48401225,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.41209126,0.06279498,0.0,0.45855904,0.54986465,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.3244624,0.40153524,0.0,0.3239708,0.51364076,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.7923093,0.12135509,0.0,0.95184326,0.5828018,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.75748825,0.055262774,0.0,0.93668556,0.6568351,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.74129057,0.16838762,0.0,0.9213581,0.65618014,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7376909,0.22213963,0.0,0.9035206,0.655123,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.70907927,0.34587976,0.0,0.8629017,0.6748824,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6419492,0.40677443,0.0,0.82471275,0.6385381,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.67730474,0.19530937,0.0,0.7967396,0.595963,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.690608,0.060718417,0.0,0.75603867,0.5388272,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.70384073,0.07866174,0.0,0.73057747,0.53795695,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.69638157,0.16687486,0.0,0.67220306,0.5175353,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6829896,0.40442047,9.278699e-09,0.64414597,0.33101296,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.58492804,0.55302465,0.0,0.58569145,0.33248746,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.5384326,0.41634694,1.1161587e-08,0.5552044,0.3659538,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.53565836,0.27144882,2.7886681e-08,0.5246372,0.4089229,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5207658,0.22002432,1.9446508e-08,0.49415207,0.3863294,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.47722054,0.22158149,0.0,0.45353317,0.3598888,0.12520446,0.9016818,0.73886305,0.80412376,0.7543661,0.34865898,0.39999998,0.20515576,1.0,0.5551553,0.59894776
0.40050507,0.24459419,0.0,0.39767265,0.36583734,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.7607527,0.16372678,0.0,0.959465,0.5545665,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.74690104,0.20739695,0.0,0.93919754,0.6595855,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7382598,0.2987413,0.0,0.9238701,0.64188147,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.74592924,0.31728682,0.0,0.9061165,0.62601686,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.73762274,0.3588387,1.2285732e-08,0.8806553,0.61505914,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7104249,0.30724117,0.0,0.8500862,0.5884049,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.72798204,0.091612905,1.6327368e-08,0.8094692,0.56399703,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.71455765,0.17131224,0.0,0.7535229,0.5540556,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7200327,0.50328076,0.0,0.73057747,0.5692245,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7193036,0.703583,1.711864e-08,0.67211914,0.53673935,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6682806,0.45743927,1.6070853e-08,0.64155006,0.39424288,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6049833,0.3066421,7.90097e-09,0.58569145,0.38192773,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6042514,0.17760047,0.0,0.56282806,0.2197473,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.58747435,0.19259498,0.0,0.5551224,0.34914446,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5556679,0.09619343,0.0,0.52212334,0.35952818,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.46291924,0.20010594,0.0,0.4484234,0.29688573,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.34250593,0.2815056,0.0,0.387455,0.23972714,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.718966,0.55374527,0.0,0.97462463,0.67205286,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.71631765,0.6750324,0.0,0.959465,0.68132854,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.7341213,0.73602664,0.0,0.93660164,0.67281246,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.74498034,0.52819574,0.0,0.91884804,0.6306472,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7461891,0.50637496,0.0,0.9010086,0.61694837,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7393613,0.44884804,0.0,0.8806553,0.61967564,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.74051523,0.42940238,0.0,0.8552799,0.621382,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.72629404,0.48488286,0.0,0.82722473,0.6251302,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6921263,0.71615934,2.7886681e-08,0.78149796,0.6336372,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6883559,1.0,2.7886681e-08,0.748333,0.61504245,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7342658,0.8873029,0.0,0.67723083,0.5633117,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
