PSurf_Winter,Rainf_Winter,Snowf_Winter,Tair_Winter,Wind_Winter,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.34944105,0.7029861,3.827699e-08,0.36969185,0.17820781,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.72625256,0.6621355,3.1223838e-08,0.8379402,0.8053147,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.72390366,0.4294193,1.0416329e-07,0.81840706,0.84279305,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.7423363,0.19999072,9.658049e-08,0.78979874,0.84114534,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.75372744,0.39020857,9.105336e-08,0.7745819,0.8163697,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7551899,0.34399137,9.881836e-08,0.75460815,0.81482166,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7484026,0.57501376,9.2900294e-08,0.73031807,0.81168,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7497859,0.7385124,2.062891e-08,0.7039776,0.80155534,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.73548937,0.93389666,5.209437e-08,0.67310333,0.7793401,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.70101786,0.6822932,2.2858313e-08,0.6335926,0.74390274,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6976228,0.529358,4.4561382e-08,0.6049881,0.6848102,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.74475,0.6138736,3.2226112e-07,0.54140663,0.63595587,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6943488,0.31382534,1.16434755e-07,0.52392197,0.6229766,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6505251,0.5454631,1.1948883e-07,0.458292,0.5177215,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6218467,0.533234,1.7247376e-07,0.44966125,0.41205376,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.55354595,0.67384577,2.3838372e-07,0.45419693,0.49938983,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.52749634,0.5224745,1.9657448e-07,0.41944122,0.4802199,0.35925508,0.5608021,0.6561069,0.69955826,0.44130015,0.71072793,0.61639345,0.7529539,0.56659615,0.3757077,0.42897615
0.4747138,0.49857798,1.6180493e-07,0.34745216,0.22922915,0.35925508,0.5608021,0.6561069,0.69955826,0.44130015,0.71072793,0.61639345,0.7529539,0.56659615,0.3757077,0.42897615
